"tips","max_crep","Order","Family","Genus"
"Sorex_ugyunak","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_unguiculatus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_vagrans","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_ventralis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_veraecrucis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_veraepacis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_volnuchini","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_yukonicus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Spalacopus_cyanus","diurnal","Rodentia","Octodontidae","Spalacopus"
"Speothos_venaticus","diurnal","Carnivora","Canidae","Speothos"
"Spermophilopsis_leptodactylus","diurnal","Rodentia","Sciuridae","Spermophilopsis"
"Spermophilus_adocetus","diurnal","Primates",NA,NA
"Spermophilus_alashanicus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_annulatus","diurnal","Primates",NA,NA
"Spermophilus_armatus","diurnal","Primates",NA,NA
"Spermophilus_atricapillus","diurnal","Primates",NA,NA
"Spermophilus_beecheyi","diurnal","Primates",NA,NA
"Spermophilus_beldingi","diurnal","Primates",NA,NA
"Spermophilus_brevicauda","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_brunneus","diurnal","Primates",NA,NA
"Spermophilus_canus","diurnal","Primates",NA,NA
"Spermophilus_citellus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_columbianus","diurnal","Primates",NA,NA
"Spermophilus_dauricus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_elegans","diurnal","Primates",NA,NA
"Spermophilus_erythrogenys","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_franklinii","diurnal","Primates",NA,NA
"Spermophilus_fulvus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_lateralis","diurnal","Primates",NA,NA
"Spermophilus_madrensis","diurnal","Primates",NA,NA
"Spermophilus_major","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_mexicanus","diurnal","Primates",NA,NA
"Spermophilus_mohavensis","diurnal","Primates",NA,NA
"Spermophilus_mollis","diurnal","Primates",NA,NA
"Spermophilus_musicus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_musicus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_pallidicauda","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_parryii","diurnal","Primates",NA,NA
"Spermophilus_perotensis","diurnal","Primates",NA,NA
"Spermophilus_pygmaeus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_ralli","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_relictus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_richardsonii","diurnal","Primates",NA,NA
"Spermophilus_saturatus","diurnal","Primates",NA,NA
"Spermophilus_spilosoma","diurnal","Primates",NA,NA
"Spermophilus_suslicus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_taurensis","diurnal","Rodentia","Sciuridae","Spermophilus"
"Spermophilus_tereticaudus","diurnal","Primates",NA,NA
"Spermophilus_townsendii","diurnal","Primates",NA,NA
"Spermophilus_tridecemlineatus","diurnal","Primates",NA,NA
"Spermophilus_undulatus","diurnal","Primates",NA,NA
"Spermophilus_variegatus","diurnal","Primates",NA,NA
"Spermophilus_washingtoni","diurnal","Primates",NA,NA
"Spermophilus_xanthoprymnus","diurnal","Rodentia","Sciuridae","Spermophilus"
"Sphaerias_blanfordi","nocturnal","Chiroptera","Pteropodidae","Sphaerias"
"Sphaeronycteris_toxophyllum","nocturnal","Chiroptera","Phyllostomidae","Sphaeronycteris"
"Sphiggurus_ichillus","nocturnal","Primates",NA,NA
"Sphiggurus_insidiosus","nocturnal","Primates",NA,NA
"Sphiggurus_melanurus","nocturnal","Primates",NA,NA
"Sphiggurus_mexicanus","nocturnal","Primates",NA,NA
"Sphiggurus_pruinosus","nocturnal","Primates",NA,NA
"Sphiggurus_roosmalenorum","nocturnal","Rodentia","Erethizontidae","Coendou"
"Sphiggurus_spinosus","nocturnal","Primates",NA,NA
"Sphiggurus_vestitus","nocturnal","Primates",NA,NA
"Sphiggurus_villosus","nocturnal","Primates",NA,NA
"Spilocuscus_kraemeri","nocturnal","Diprotodontia","Phalangeridae","Spilocuscus"
"Spilocuscus_maculatus","nocturnal","Diprotodontia","Phalangeridae","Spilocuscus"
"Spilocuscus_papuensis","nocturnal","Diprotodontia","Phalangeridae","Spilocuscus"
"Spilocuscus_rufoniger","nocturnal","Diprotodontia","Phalangeridae","Spilocuscus"
"Spilocuscus_wilsoni","nocturnal","Diprotodontia","Phalangeridae","Spilocuscus"
"Spilogale_angustifrons","nocturnal","Carnivora","Mephitidae","Spilogale"
"Spilogale_gracilis","nocturnal","Carnivora","Mephitidae","Spilogale"
"Spilogale_putorius","nocturnal","Carnivora","Mephitidae","Spilogale"
"Spilogale_pygmaea","nocturnal","Carnivora","Mephitidae","Spilogale"
"Srilankamys_ohiensis","nocturnal","Rodentia","Muridae","Srilankamys"
"Steatomys_bocagei","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_caurinus","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_cuppedius","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_jacksoni","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_krebsii","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_opimus","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_parvus","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Steatomys_pratensis","nocturnal","Rodentia","Nesomyidae","Steatomys"
"Stenocephalemys_albocaudata","nocturnal","Rodentia","Muridae","Stenocephalemys"
"Stenocephalemys_griseicauda","nocturnal","Rodentia","Muridae","Stenocephalemys"
"Stenoderma_rufum","nocturnal","Chiroptera","Phyllostomidae","Stenoderma"
"Stochomys_longicaudatus","nocturnal","Rodentia","Muridae","Stochomys"
"Strigocuscus_celebensis","nocturnal","Diprotodontia","Phalangeridae","Strigocuscus"
"Strigocuscus_pelengensis","nocturnal","Diprotodontia","Phalangeridae","Strigocuscus"
"Sturnira_aratathomasi","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_bidens","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_bogotensis","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_erythromos","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_lilium","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_ludovici","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_luisi","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_magna","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_mistratensis","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_mordax","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_nana","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_oporaphilum","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_sorianoi","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_thomasi","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Sturnira_tildae","nocturnal","Chiroptera","Phyllostomidae","Sturnira"
"Styloctenium_mindorensis","nocturnal","Chiroptera","Pteropodidae","Styloctenium"
"Styloctenium_wallacei","nocturnal","Chiroptera","Pteropodidae","Styloctenium"
"Stylodipus_andrewsi","nocturnal","Rodentia","Dipodidae","Stylodipus"
"Stylodipus_sungorus","nocturnal","Rodentia","Dipodidae","Stylodipus"
"Stylodipus_telum","nocturnal","Rodentia","Dipodidae","Stylodipus"
"Suncus_dayi","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_etruscus","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_fellowesgordoni","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_infinitesimus","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_lixus","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_madagascariensis","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_megalura","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_murinus","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_stoliczkanus","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_varilla","diurnal","Eulipotyphla","Soricidae","Suncus"
"Suncus_zeylanicus","nocturnal","Eulipotyphla","Soricidae","Suncus"
"Sundamys_infraluteus","nocturnal","Rodentia","Muridae","Sundamys"
"Sundamys_maxi","nocturnal","Rodentia","Muridae","Sundamys"
"Sundamys_muelleri","nocturnal","Rodentia","Muridae","Sundamys"
"Sundasciurus_brookei","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_davensis","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_fraterculus","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_hippurus","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_hoogstraali","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_jentinki","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_juvencus","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_lowii","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_mindanensis","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_moellendorffi","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_philippinensis","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_rabori","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_samarensis","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_steerii","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Sundasciurus_tenuis","diurnal","Rodentia","Sciuridae","Sundasciurus"
"Suricata_suricatta","diurnal","Carnivora","Herpestidae","Suricata"
"Sus_ahoenobarbus","crepuscular","Artiodactyla","Suidae","Sus"
"Sus_barbatus","diurnal","Artiodactyla","Suidae","Sus"
"Sus_bucculentus","nocturnal","Artiodactyla","Suidae","Sus"
"Sus_cebifrons","nocturnal","Artiodactyla","Suidae","Sus"
"Sus_celebensis","diurnal","Artiodactyla","Suidae","Sus"
"Sus_oliveri","nocturnal","Artiodactyla","Suidae","Sus"
"Sus_philippensis","nocturnal","Artiodactyla","Suidae","Sus"
"Sus_scrofa","nocturnal","Artiodactyla","Suidae","Sus"
"Sus_verrucosus","nocturnal","Artiodactyla","Suidae","Sus"
"Syconycteris_australis","nocturnal","Chiroptera","Pteropodidae","Syconycteris"
"Syconycteris_carolinae","nocturnal","Chiroptera","Pteropodidae","Syconycteris"
"Syconycteris_hobbit","nocturnal","Chiroptera","Pteropodidae","Syconycteris"
"Sylvicapra_grimmia","diurnal","Artiodactyla","Bovidae","Sylvicapra"
"Sylvilagus_aquaticus","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_audubonii","crepuscular","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_bachmani","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_brasiliensis","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_floridanus","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_graysoni","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_insonus","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_mansuetus","crepuscular","Primates",NA,NA
"Sylvilagus_nuttallii","crepuscular","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_obscurus","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_palustris","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Sylvilagus_transitionalis","nocturnal","Lagomorpha","Leporidae","Sylvilagus"
"Symphalangus_syndactylus","diurnal","Primates","Hylobatidae","Symphalangus"
"Synaptomys_borealis","cathemeral","Rodentia","Cricetidae","Synaptomys"
"Synaptomys_cooperi","cathemeral","Rodentia","Cricetidae","Synaptomys"
"Syncerus_caffer","nocturnal","Artiodactyla","Bovidae","Syncerus"
"Syntheosciurus_brochus","diurnal","Rodentia","Sciuridae","Syntheosciurus"
"Tachyglossus_aculeatus","nocturnal","Monotremata","Tachyglossidae","Tachyglossus"
"Tadarida_aegyptiaca","nocturnal","Chiroptera","Molossidae","Tadarida"
"Tadarida_aloysiisabaudiae","nocturnal","Primates",NA,NA
