"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Tursiops aduncus","Tursiops aduncus","diurnal","diurnal","diurnal","diurnal","Tursiops_aduncus"
"Tursiops truncatus","Tursiops truncatus","diurnal","diurnal","diurnal","diurnal","Tursiops_truncatus"
"Balaenoptera acutorostrata","Balaenoptera acutorostrata","nocturnal","nocturnal","nocturnal","nocturnal","Balaenoptera_acutorostrata"
"Balaenoptera brydei","Balaenoptera brydei","nocturnal","nocturnal","nocturnal","nocturnal","Balaenoptera_brydei"
"Caperea marginata","Caperea marginata","nocturnal","nocturnal","nocturnal","nocturnal","Caperea_marginata"
"Delphinus delphis","Delphinus delphis","nocturnal","nocturnal","nocturnal","nocturnal","Delphinus_delphis"
"Eubalaena glacialis","Eubalaena glacialis","nocturnal","nocturnal","nocturnal","nocturnal","Eubalaena_glacialis"
"Eubalaena japonica","Eubalaena japonica","nocturnal","nocturnal","nocturnal","nocturnal","Eubalaena_japonica"
"Feresa attenuata","Feresa attenuata","nocturnal","nocturnal","nocturnal","nocturnal","Feresa_attenuata"
"Globicephala melas","Globicephala melas","nocturnal","nocturnal","nocturnal","nocturnal","Globicephala_melas"
"Inia boliviensis","Inia boliviensis","nocturnal","nocturnal","nocturnal","nocturnal","Inia_boliviensis"
"Inia humboldtiana","Inia humboldtiana","nocturnal","nocturnal","nocturnal","nocturnal","Inia_humboldtiana"
"Lagenodelphis hosei","Lagenodelphis hosei","nocturnal","nocturnal","nocturnal","nocturnal","Lagenodelphis_hosei"
"Lagenorhynchus australis","Lagenorhynchus australis","nocturnal","nocturnal","nocturnal","nocturnal","Lagenorhynchus_australis"
"Lissodelphis borealis","Lissodelphis borealis","nocturnal","nocturnal","nocturnal","nocturnal","Lissodelphis_borealis"
"Lissodelphis peronii","Lissodelphis peronii","nocturnal","nocturnal","nocturnal","nocturnal","Lissodelphis_peronii"
"Mesoplodon ginkgodens","Mesoplodon ginkgodens","nocturnal","nocturnal","nocturnal","nocturnal","Mesoplodon_ginkgodens"
"Neophocaena phocaenoides","Neophocaena phocaenoides","nocturnal","nocturnal","nocturnal","nocturnal","Neophocaena_phocaenoides"
"Orcaella heinsohni","Orcaella heinsohni","nocturnal","nocturnal","nocturnal","nocturnal","Orcaella_heinsohni"
"Peponocephala electra","Peponocephala electra","nocturnal","nocturnal","nocturnal","nocturnal","Peponocephala_electra"
"Pontoporia blainvillei","Pontoporia blainvillei","nocturnal","nocturnal","nocturnal","nocturnal","Pontoporia_blainvillei"
"Sousa plumbea","Sousa plumbea","nocturnal","nocturnal","nocturnal","nocturnal","Sousa_plumbea"
"Sousa teuszii","Sousa teuszii","nocturnal","nocturnal","nocturnal","nocturnal","Sousa_teuszii"
"Stenella clymene","Stenella clymene","nocturnal","nocturnal","nocturnal","nocturnal","Stenella_clymene"
"Stenella coeruleoalba","Stenella coeruleoalba","nocturnal","nocturnal","nocturnal","nocturnal","Stenella_coeruleoalba"
"Stenella frontalis","Stenella frontalis","nocturnal","nocturnal","nocturnal","nocturnal","Stenella_frontalis"
"Stenella longirostris","Stenella longirostris","nocturnal","nocturnal","nocturnal","nocturnal","Stenella_longirostris"
"Cephalorhynchus heavisidii","Cephalorhynchus heavisidii","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Cephalorhynchus_heavisidii"
"Eschrichtius robustus","Eschrichtius robustus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Eschrichtius_robustus"
"Eubalaena australis","Eubalaena australis","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Eubalaena_australis"
"Globicephala macrorhynchus","Globicephala macrorhynchus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Globicephala_macrorhynchus"
"Grampus griseus","Grampus griseus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Grampus_griseus"
"Hyperoodon planifrons","Hyperoodon planifrons","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Hyperoodon_planifrons"
