"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"2812","labrisomus wigginsi","Labrisomus wigginsi",FALSE,3639329,FALSE,"sibling_higher",1,"Labrisomus_wigginsi","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2813","labrisomus xanti","Labrisomus xanti",FALSE,780327,FALSE,"sibling_higher",1,"Labrisomus_xanti","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2814","labroides bicolor","Labroides bicolor",FALSE,302374,FALSE,"",1,"Labroides_bicolor","Labroides","Labridae","Eupercaria/misc","diurnal","diurnal",2,"",""
"2815","labroides dimidiatus","Labroides dimidiatus",FALSE,302377,FALSE,"",1,"Labroides_dimidiatus","Labroides","Labridae","Eupercaria/misc","diurnal","diurnal",5,"",""
"2816","labroides pectoralis","Labroides pectoralis",FALSE,196212,FALSE,"",1,"Labroides_pectoralis","Labroides","Labridae","Eupercaria/misc","diurnal","diurnal",2,"",""
"2817","labroides phthirophagus","Labroides phthirophagus",FALSE,501389,FALSE,"",1,"Labroides_phthirophagus","Labroides","Labridae","Eupercaria/misc","diurnal","diurnal",4,"","NEW_SPECIES"
"2818","labroides rubrolabiatus","Labroides rubrolabiatus",FALSE,826539,FALSE,"",1,"Labroides_rubrolabiatus","Labroides","Labridae","Eupercaria/misc","diurnal","diurnal",2,"",""
"2819","labropsis xanthonota","Labropsis xanthonota",FALSE,3636702,FALSE,"",1,"Labropsis_xanthonota","Labropsis","Labridae","Eupercaria/misc","diurnal","diurnal",2,"",""
"2820","labrus bergylta","Labrus bergylta",FALSE,292710,FALSE,"",1,"Labrus_bergylta","Labrus","Labridae","Eupercaria/misc","diurnal","diurnal",4,"ENSEMBL, GCF 900080235.1",""
"2821","labrus merula","Labrus merula",FALSE,155287,FALSE,"",1,"Labrus_merula","Labrus","Labridae","Eupercaria/misc","diurnal","diurnal",2,"","HIGHER_CONF"
"2822","labrus mixtus","Labrus mixtus",FALSE,789965,FALSE,"",1,"Labrus_mixtus","Labrus","Labridae","Eupercaria/misc","diurnal","diurnal",3,"",""
"2823","labrus viridis","Labrus viridis",FALSE,155298,FALSE,"",2,"Labrus_viridis","Labrus","Labridae","Eupercaria/misc","diurnal","diurnal",2,"","HIGHER_CONF"
