"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Apomys hylocetes","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_hylocetes"
"Apomys insignis","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_insignis"
"Apomys littoralis","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_littoralis"
"Apomys microdon","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_microdon"
"Apomys microdon","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_microdon"
"Apomys musculus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_musculus"
"Apomys musculus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_musculus"
"Apomys sacobianus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_sacobianus"
"Arborimus albipes","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arborimus_albipes"
"Arborimus longicaudus","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arborimus_longicaudus"
"Arborimus longicaudus","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arborimus_longicaudus"
"Arborimus pomo","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arborimus_pomo"
"Arborimus pomo","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arborimus_pomo"
"Archboldomys luzonensis","Rodentia","idk","non-cetacean","Muridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Archboldomys_luzonensis"
"Archboldomys luzonensis","Rodentia","idk","non-cetacean","Muridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Archboldomys_luzonensis"
"Arctictis binturong","Carnivora","idk","non-cetacean","Viverridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arctictis_binturong"
"Arctocebus aureus","Primates","idk","non-cetacean","Lorisidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arctocebus_aureus"
"Arctocebus calabarensis","Primates","idk","non-cetacean","Lorisidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arctocebus_calabarensis"
"Arctocebus calabarensis","Primates","idk","non-cetacean","Lorisidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arctocebus_calabarensis"
"Arctogalidia trivirgata","Carnivora","idk","non-cetacean","Viverridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arctogalidia_trivirgata"
"Arctonyx collaris","Carnivora","idk","non-cetacean","Mustelidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Arctonyx_collaris"
"Ariteus flavescens","Chiroptera","idk","non-cetacean","Phyllostomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Ariteus_flavescens"
"Artibeus jamaicensis","Chiroptera","idk","non-cetacean","Phyllostomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Artibeus_jamaicensis"
"Artibeus lituratus","Chiroptera","idk","non-cetacean","Phyllostomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Artibeus_lituratus"
"Arvicanthis niloticus","Rodentia","idk","non-cetacean","Muridae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Arvicanthis_niloticus"
"Arvicola amphibius","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Arvicola_amphibius"
"Arvicola sapidus","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Arvicola_sapidus"
"Atelerix albiventris","Erinaceomorpha","idk","non-cetacean","Erinaceidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Atelerix_albiventris"
"Atelerix algirus","Erinaceomorpha","idk","non-cetacean","Erinaceidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Atelerix_algirus"
"Atelerix frontalis","Erinaceomorpha","idk","non-cetacean","Erinaceidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Atelerix_frontalis"
"Atelerix sclateri","Erinaceomorpha","idk","non-cetacean","Erinaceidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Atelerix_sclateri"
"Ateles belzebuth","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_belzebuth"
"Ateles belzebuth","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_belzebuth"
"Ateles chamek","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_chamek"
"Ateles chamek","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_chamek"
"Ateles fusciceps","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_fusciceps"
"Ateles fusciceps","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_fusciceps"
"Ateles geoffroyi","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_geoffroyi"
"Ateles geoffroyi","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_geoffroyi"
"Ateles marginatus","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ateles_marginatus"
