"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Raphicerus melanotis","Raphicerus melanotis","Nocturnal","Raphicerus_melanotis","Nocturnal","Nocturnal","Nocturnal"
"Raphicerus sharpei","Raphicerus sharpei","Nocturnal","Raphicerus_sharpei","Nocturnal","Nocturnal","Nocturnal"
"Redunca arundinum","Redunca arundinum","Cathemeral","Redunca_arundinum",NA,"Cathemeral","Cathemeral"
"Redunca fulvorufula","Redunca fulvorufula","Cathemeral","Redunca_fulvorufula",NA,"Cathemeral","Cathemeral"
"Redunca redunca","Redunca redunca","Cathemeral","Redunca_redunca",NA,"Cathemeral","Cathemeral"
"Rucervus duvaucelii","Rucervus duvaucelii","Diurnal","Rucervus_duvaucelii","Diurnal","Diurnal","Diurnal"
"Rucervus eldii","Rucervus eldii","Crepuscular","Rucervus_eldii",NA,"Crepuscular","Crepuscular"
"Rupicapra pyrenaica","Rupicapra pyrenaica","Diurnal","Rupicapra_pyrenaica","Diurnal","Diurnal","Diurnal"
"Rupicapra rupicapra","Rupicapra rupicapra","Diurnal","Rupicapra_rupicapra","Diurnal","Diurnal","Diurnal"
"Rusa alfredi","Rusa alfredi","Nocturnal","Rusa_alfredi","Nocturnal","Nocturnal","Nocturnal"
"Rusa marianna","Rusa marianna","Nocturnal","Rusa_marianna","Nocturnal","Nocturnal","Nocturnal"
"Rusa timorensis","Rusa timorensis","Diurnal","Rusa_timorensis","Diurnal","Diurnal","Diurnal"
"Rusa unicolor","Rusa unicolor","Nocturnal","Rusa_unicolor","Nocturnal","Nocturnal","Nocturnal"
"Saiga tatarica","Saiga tatarica","Diurnal","Saiga_tatarica","Diurnal","Diurnal","Diurnal"
"Sus ahoenobarbus","Sus ahoenobarbus","Diurnal","Sus_ahoenobarbus","Diurnal","Diurnal","Diurnal"
"Sus barbatus","Sus barbatus","Diurnal","Sus_barbatus","Diurnal","Diurnal","Diurnal"
"Sus cebifrons","Sus cebifrons","Nocturnal","Sus_cebifrons","Nocturnal","Nocturnal","Nocturnal"
"Sus celebensis","Sus celebensis","Diurnal","Sus_celebensis","Diurnal","Diurnal","Diurnal"
"Sus oliveri","Sus oliveri","Nocturnal","Sus_oliveri","Nocturnal","Nocturnal","Nocturnal"
"Sus philippensis","Sus philippensis","Nocturnal","Sus_philippensis","Nocturnal","Nocturnal","Nocturnal"
"Sus scrofa","Sus scrofa","Nocturnal","Sus_scrofa","Nocturnal","Nocturnal","Nocturnal"
"Sus verrucosus","Sus verrucosus","Nocturnal","Sus_verrucosus","Nocturnal","Nocturnal","Nocturnal"
"Sylvicapra grimmia","Sylvicapra grimmia","Diurnal","Sylvicapra_grimmia","Diurnal","Diurnal","Diurnal"
"Syncerus caffer","Syncerus caffer","Nocturnal/Crepuscular","Syncerus_caffer","Nocturnal","Crepuscular","Nocturnal"
"Tayassu pecari","Tayassu pecari","Diurnal/Crepuscular","Tayassu_pecari","Diurnal","Crepuscular","Diurnal"
"Tetracerus quadricornis","Tetracerus quadricornis","Crepuscular","Tetracerus_quadricornis",NA,"Crepuscular","Crepuscular"
"Tragelaphus angasii","Tragelaphus angasii","Diurnal","Tragelaphus_angasii","Diurnal","Diurnal","Diurnal"
"Tragelaphus buxtoni","Tragelaphus buxtoni","Nocturnal","Tragelaphus_buxtoni","Nocturnal","Nocturnal","Nocturnal"
"Tragelaphus derbianus","Tragelaphus derbianus","Crepuscular","Tragelaphus_derbianus",NA,"Crepuscular","Crepuscular"
"Tragelaphus eurycerus","Tragelaphus eurycerus","Nocturnal","Tragelaphus_eurycerus","Nocturnal","Nocturnal","Nocturnal"
"Tragelaphus imberbis","Tragelaphus imberbis","Nocturnal","Tragelaphus_imberbis","Nocturnal","Nocturnal","Nocturnal"
"Tragelaphus oryx","Tragelaphus oryx","Nocturnal","Tragelaphus_oryx","Nocturnal","Nocturnal","Nocturnal"
"Tragelaphus scriptus","Tragelaphus scriptus","Nocturnal/Crepuscular","Tragelaphus_scriptus","Nocturnal","Crepuscular","Nocturnal"
"Tragelaphus spekii","Tragelaphus spekii","Diurnal","Tragelaphus_spekii","Diurnal","Diurnal","Diurnal"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","Cathemeral","Tragelaphus_strepsiceros",NA,"Cathemeral","Cathemeral"
"Tragulus javanicus","Tragulus javanicus","Nocturnal","Tragulus_javanicus","Nocturnal","Nocturnal","Nocturnal"
"Tragulus kanchil","Tragulus kanchil","Cathemeral","Tragulus_kanchil",NA,"Cathemeral","Cathemeral"
"Tragulus napu","Tragulus napu","Cathemeral","Tragulus_napu",NA,"Cathemeral","Cathemeral"
