"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Redunca fulvorufula","Redunca fulvorufula","cathemeral","Redunca_fulvorufula",NA,"crepuscular","cathemeral"
"Redunca redunca","Redunca redunca","cathemeral","Redunca_redunca",NA,"crepuscular","cathemeral"
"Rucervus duvaucelii","Rucervus duvaucelii","diurnal","Rucervus_duvaucelii","diurnal","diurnal","diurnal"
"Rucervus eldii","Rucervus eldii","cathemeral/crepuscular","Rucervus_eldii",NA,"crepuscular","cathemeral"
"Rupicapra pyrenaica","Rupicapra pyrenaica","diurnal","Rupicapra_pyrenaica","diurnal","diurnal","diurnal"
"Rupicapra rupicapra","Rupicapra rupicapra","diurnal","Rupicapra_rupicapra","diurnal","diurnal","diurnal"
"Rusa alfredi","Rusa alfredi","nocturnal","Rusa_alfredi","nocturnal","nocturnal","nocturnal"
"Rusa marianna","Rusa marianna","nocturnal","Rusa_marianna","nocturnal","nocturnal","nocturnal"
"Rusa timorensis","Rusa timorensis","diurnal","Rusa_timorensis","diurnal","diurnal","diurnal"
"Rusa unicolor","Rusa unicolor","nocturnal","Rusa_unicolor","nocturnal","nocturnal","nocturnal"
"Saiga tatarica","Saiga tatarica","diurnal","Saiga_tatarica","diurnal","diurnal","diurnal"
"Sus ahoenobarbus","Sus ahoenobarbus","diurnal","Sus_ahoenobarbus","diurnal","diurnal","diurnal"
"Sus barbatus","Sus barbatus","diurnal","Sus_barbatus","diurnal","diurnal","diurnal"
"Sus cebifrons","Sus cebifrons","nocturnal","Sus_cebifrons","nocturnal","nocturnal","nocturnal"
"Sus celebensis","Sus celebensis","diurnal","Sus_celebensis","diurnal","diurnal","diurnal"
"Sus oliveri","Sus oliveri","nocturnal","Sus_oliveri","nocturnal","nocturnal","nocturnal"
"Sus philippensis","Sus philippensis","nocturnal","Sus_philippensis","nocturnal","nocturnal","nocturnal"
"Sus scrofa","Sus scrofa","nocturnal","Sus_scrofa","nocturnal","nocturnal","nocturnal"
"Sus verrucosus","Sus verrucosus","nocturnal","Sus_verrucosus","nocturnal","nocturnal","nocturnal"
"Sylvicapra grimmia","Sylvicapra grimmia","diurnal","Sylvicapra_grimmia","diurnal","diurnal","diurnal"
"Syncerus caffer","Syncerus caffer","nocturnal/crepuscular","Syncerus_caffer","nocturnal","crepuscular","nocturnal"
"Tayassu pecari","Tayassu pecari","diurnal/crepuscular","Tayassu_pecari","diurnal","crepuscular","diurnal"
"Tetracerus quadricornis","Tetracerus quadricornis","cathemeral/crepuscular","Tetracerus_quadricornis",NA,"crepuscular","cathemeral"
"Tragelaphus angasii","Tragelaphus angasii","diurnal","Tragelaphus_angasii","diurnal","diurnal","diurnal"
"Tragelaphus buxtoni","Tragelaphus buxtoni","nocturnal","Tragelaphus_buxtoni","nocturnal","nocturnal","nocturnal"
"Tragelaphus derbianus","Tragelaphus derbianus","cathemeral/crepuscular","Tragelaphus_derbianus",NA,"crepuscular","cathemeral"
"Tragelaphus eurycerus","Tragelaphus eurycerus","nocturnal","Tragelaphus_eurycerus","nocturnal","nocturnal","nocturnal"
"Tragelaphus imberbis","Tragelaphus imberbis","nocturnal","Tragelaphus_imberbis","nocturnal","nocturnal","nocturnal"
"Tragelaphus oryx","Tragelaphus oryx","nocturnal","Tragelaphus_oryx","nocturnal","nocturnal","nocturnal"
"Tragelaphus scriptus","Tragelaphus scriptus","nocturnal/crepuscular","Tragelaphus_scriptus","nocturnal","crepuscular","nocturnal"
"Tragelaphus spekii","Tragelaphus spekii","diurnal","Tragelaphus_spekii","diurnal","diurnal","diurnal"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","cathemeral","Tragelaphus_strepsiceros",NA,"crepuscular","cathemeral"
"Tragulus javanicus","Tragulus javanicus","nocturnal","Tragulus_javanicus","nocturnal","nocturnal","nocturnal"
"Tragulus kanchil","Tragulus kanchil","cathemeral","Tragulus_kanchil",NA,"crepuscular","cathemeral"
"Tragulus napu","Tragulus napu","cathemeral","Tragulus_napu",NA,"crepuscular","cathemeral"
"Tragulus nigricans","Tragulus nigricans","nocturnal","Tragulus_nigricans","nocturnal","nocturnal","nocturnal"
"Tragulus versicolor","Tragulus versicolor","nocturnal","Tragulus_versicolor","nocturnal","nocturnal","nocturnal"
"Tragulus williamsoni","Tragulus williamsoni","nocturnal","Tragulus_williamsoni","nocturnal","nocturnal","nocturnal"
"Vicugna vicugna","Vicugna vicugna","diurnal","Vicugna_vicugna","diurnal","diurnal","diurnal"
