Species,state
Coendou_bicolor,1
Erethizon_dorsatum,1
Cratogeomys_neglectus,1
Geomys_arenarius,1
Orthogeomys_cavator,1
Thomomys_bottae,1
Chaetodipus_baileyi,1
Dipodomys_heermanni,1
Heteromys_anomalus,1
Liomys_adspersus,1
Microdipodops_megacephalus,1
Perognathus_amplus,1
Atherurus_africanus,1
Hystrix_africaeaustralis,1
Trichys_fasciculata,1
Alticola_argentatus,1
Arborimus_longicaudus,1
Arvicola_sapidus,1
Beamys_hindei,1
Cricetomys_emini,1
Cricetulus_migratorius,1
Dendromus_melanotis,1
Desmodilliscus_braueri,1
Dicrostonyx_groenlandicus,0
Gerbillurus_paeba,1
Lagurus_lagurus,1
Lemmus_lemmus,1
Malacothrix_typica,1
Megadendromus_nikolausi,1
Mesocricetus_auratus,1
Microtus_abbreviatus,0
Mus_musculus,1
Myopus_schisticolor,1
Neofiber_alleni,1
Ondatra_zibethicus,1
Phenacomys_intermedius,1
Phodopus_campbelli,1
Saccostomus_campestris,1
Steatomys_krebsii,1
Synaptomys_cooperi,1
Myocastor_coypus,1
Octodontomys_gliroides,1
Pedetes_capensis,1
Petromus_typicus,0
Spermophilus_tridecemlineatus,0
Tamias_striatus,0
Thryonomys_swinderianus,1
Ptilocercus_lowii,1
Tupaia_minor,0
Dugong_dugon,1
Trichechus_manatus,1
Solenodon_paradoxus,1
Sorex_araneus,0
Acanthosaura_capra,0
Acanthosaura_lepidogaster,0
Agama_agama,0
Agama_atra,0
Amphibolurus_muricatus,0
Amphibolurus_nobbi,0
Caimanops_amphiboluroides,0
Calotes_emma,0
Calotes_liolepis,0
Calotes_mystaceus,0
Calotes_nigrilabris,0
Calotes_versicolor,0
Chelosania_brunnea,0
Chlamydosaurus_kingii,0
Ctenophorus_isolepis,0
Diporiphora_winneckei,0
Laudakia_caucasia,0
Laudakia_himalayana,0
Laudakia_lehmanni,0
Laudakia_microlepis,0
Laudakia_nupta,0
Laudakia_sacra,0
Laudakia_stellio,0
Laudakia_stoliczkana,0
Laudakia_tuberculata,0
Leiolepis_belliana,0
Lophognathus_longirostris,0
